# w      Rpp                     Rps                     Rsp                     Rss
01.18    1.95311658415204e+02    4.85945997414604e+01    4.43478394997242e-02    7.22144002148075e+00
01.19    2.07044243651947e+02    5.48854266110393e+01    4.50497052845561e-02    8.14613046984931e+00
01.20    2.19750169777891e+02    6.16957966499179e+01    4.47281623536097e-02    9.14537979753524e+00
01.21    2.33256951789062e+02    6.89069342676119e+01    4.33428914219849e-02    1.02013196556871e+01
01.22    2.47289391918123e+02    7.63435703123990e+01    4.10432869741719e-02    1.12877816884479e+01
01.23    2.61463440935912e+02    8.37677699445785e+01    3.82895837172026e-02    1.23693613890893e+01
01.24    2.75326081725875e+02    9.08919749880730e+01    3.59786010265415e-02    1.34037280697675e+01
01.25    2.88340560582901e+02    9.73816945019989e+01    3.55112899841899e-02    1.43417036157173e+01
01.26    2.99943627741694e+02    1.02888176296557e+02    3.87840013966669e-02    1.51324024610507e+01
01.27    3.09545587206835e+02    1.07071749175188e+02    4.80457220820450e-02    1.57263537238013e+01
01.28    3.16613288330676e+02    1.09651407413359e+02    6.56433914451138e-02    1.60832509813287e+01
01.29    3.20659324389722e+02    1.10427235780037e+02    9.36675699477448e-02    1.61746234256606e+01
01.30    3.21326828976128e+02    1.09319429403321e+02    1.33574755332401e-01    1.59900399711277e+01
01.31    3.18377696772889e+02    1.06366316084982e+02    1.85874504901479e-01    1.55361183757911e+01
01.32    3.11754408209080e+02    1.01731475994417e+02    2.49940635938254e-01    1.48379527899278e+01
01.33    3.01563780424805e+02    9.56747848003556e+01    3.24037517102162e-01    1.39344700276754e+01
01.34    2.88081244760809e+02    8.85238599113482e+01    4.05509169965818e-01    1.28742451434765e+01
01.35    2.71722692206311e+02    8.06395925913724e+01    4.91154542468297e-01    1.17104190818370e+01
01.36    2.53002469314483e+02    7.23841906344321e+01    5.77648315006087e-01    1.04959767319015e+01
01.37    2.32498944806477e+02    6.40989596760044e+01    6.61982116179283e-01    9.28063229248724e+00
01.38    2.10805672939147e+02    5.60886104981448e+01    7.41785006761227e-01    8.10854880818436e+00
01.39    1.88487034738919e+02    4.86135450476790e+01    8.15394624774456e-01    7.01717163085377e+00
01.40    1.66055084223448e+02    4.18891482755467e+01    8.81812048424158e-01    6.03719678907074e+00
01.41    1.43965439891103e+02    3.60896540154072e+01    9.40533473371206e-01    5.19323818424065e+00
01.42    1.22617922006638e+02    3.13490506213315e+01    9.91362009346326e-01    4.50395916270448e+00
01.43    1.02366610220094e+02    2.77643515773919e+01    1.03432494144290e+00    3.98260181898587e+00
01.44    8.35199193150250e+01    2.53906687432312e+01    1.06962270788236e+00    3.63626690523036e+00
01.45    6.63539649614985e+01    2.42374188631835e+01    1.09780484066183e+00    3.46546418602381e+00
01.46    5.11080028624434e+01    2.42646620229861e+01    1.12000997580615e+00    3.46367974217533e+00
01.47    3.79653214086513e+01    2.53741644156761e+01    1.13780724025565e+00    3.61605494496212e+00
01.48    2.70461160485008e+01    2.74131180663330e+01    1.15328673818138e+00    3.90009155741720e+00
01.49    1.83911830999455e+01    3.01788583598281e+01    1.16868841591377e+00    4.28633053545018e+00
01.50    1.19579148449713e+01    3.34353514599201e+01    1.18604206841185e+00    4.74074796012297e+00
01.51    7.62758500666715e+00    3.69353904119264e+01    1.20689479109130e+00    5.22799741065691e+00
01.52    5.22159516780705e+00    4.04473181582564e+01    1.23197033468919e+00    5.71512759180785e+00
01.53    4.52743173475650e+00    4.37811589845873e+01    1.26120621949753e+00    6.17533808478158e+00
01.54    5.32534676174723e+00    4.68040587345051e+01    1.29370641999331e+00    6.59001370069718e+00
01.55    7.41181113545127e+00    4.94539818391781e+01    1.32806464134741e+00    6.95065161066739e+00
01.56    1.06132121909841e+01    5.17353432696760e+01    1.36263804039125e+00    7.25810910731841e+00
01.57    1.47882586101433e+01    5.37135704032896e+01    1.39611272457511e+00    7.52187710184795e+00
01.58    1.98163693656150e+01    5.54942423628332e+01    1.42763282902424e+00    7.75690816403380e+00
01.59    2.55798822172793e+01    5.72072965012785e+01    1.45724001480512e+00    7.98144358610798e+00
01.60    3.19428558568066e+01    5.89899059037030e+01    1.48610183788819e+00    8.21466227904432e+00
01.61    3.87329963862359e+01    6.09662662695166e+01    1.51637079567054e+00    8.47373011219709e+00
01.62    4.57367877664378e+01    6.32359513764130e+01    1.55117488827583e+00    8.77233119342939e+00
01.63    5.27058864431894e+01    6.58611821373546e+01    1.59416045001785e+00    9.11880011230467e+00
01.64    5.93786603254490e+01    6.88610390608656e+01    1.64928252954622e+00    9.51547263883439e+00
01.65    6.55120115757037e+01    7.22130469261174e+01    1.72038074103362e+00    9.95892862030289e+00
01.66    7.09127039412975e+01    7.58550006760979e+01    1.81089211918195e+00    1.04402589080529e+01
01.67    7.54717943318463e+01    7.97015442537323e+01    1.92381383634982e+00    1.09475621520699e+01
01.68    7.91721839221110e+01    8.36459199807005e+01    2.06130713416154e+00    1.14659303417163e+01
01.69    8.20997200152242e+01    8.75813110944947e+01    2.22495657913737e+00    1.19806452611212e+01
01.70    8.44272558916860e+01    9.14056213310439e+01    2.41579149918280e+00    1.24778029804636e+01
01.71    8.63790463471578e+01    9.50213140028774e+01    2.63408988986958e+00    1.29440949106774e+01
