# w(eV)  Rpp                     Rps                     Rsp                     Rss
00.28    7.56691820980205e+28    1.12992249118758e+27    2.47481063563967e+24    1.87396111581380e+26
00.29    8.11947217625743e+28    1.22071118418084e+27    2.66535425958745e+24    2.02392968866178e+26
00.30    8.69193054385365e+28    1.31604542962356e+27    2.86427762978725e+24    2.18133061573422e+26
00.31    9.28418190489268e+28    1.41607769580741e+27    3.07165118216196e+24    2.34639337201446e+26
00.32    9.89654221798503e+28    1.52100851892179e+27    3.28774766963212e+24    2.51945187509879e+26
00.33    1.05285751573202e+29    1.63096491791289e+27    3.51260600153346e+24    2.70067432821692e+26
00.34    1.11807802187558e+29    1.74621368143568e+27    3.74670637868865e+24    2.89051833316444e+26
00.35    1.18530681481551e+29    1.86694253249227e+27    3.98999404663623e+24    3.08926442563800e+26
00.36    1.25454230006911e+29    1.99336525775945e+27    4.24285598166688e+24    3.29724992665345e+26
00.37    1.32579616889844e+29    2.12572050827507e+27    4.50547717789245e+24    3.51485215713530e+26
00.38    1.39907268590737e+29    2.26427641655580e+27    4.77809241876956e+24    3.74249595426594e+26
00.39    1.47438175996708e+29    2.40930322716027e+27    5.06105638054788e+24    3.98060831542100e+26
00.40    1.55176477476202e+29    2.56113146239268e+27    5.35467328594089e+24    4.22973892577302e+26
00.41    1.63116791655176e+29    2.71999488353468e+27    5.65896206430582e+24    4.49020407895448e+26
00.42    1.71265939251215e+29    2.88631753997740e+27    5.97464779788879e+24    4.76273089797902e+26
00.43    1.79622759265014e+29    3.06039692868879e+27    6.30181023526938e+24    5.04776084272001e+26
00.44    1.88187664514145e+29    3.24262587084293e+27    6.64075193205464e+24    5.34591540235813e+26
00.45    1.96961689534497e+29    3.43341235823548e+27    6.99185987829818e+24    5.65783908434849e+26
00.46    2.05946551429454e+29    3.63318983881248e+27    7.35562341594443e+24    5.98421623330063e+26
00.47    2.15143201830178e+29    3.84241850410130e+27    7.73215547191528e+24    6.32577298380878e+26
00.48    2.24554291648037e+29    4.06161241007018e+27    8.12205493693557e+24    6.68332170953281e+26
00.49    2.34178927888883e+29    4.29130659275479e+27    8.52561325959915e+24    7.05770664282222e+26
00.50    2.44021365757584e+29    4.53206988651731e+27    8.94330582974835e+24    7.44982477489158e+26
00.51    2.54087809157857e+29    4.78463404841781e+27    9.37580492112041e+24    7.86088286812713e+26
00.52    2.64368343370929e+29    5.04948587885027e+27    9.82310105552531e+24    8.29154890819601e+26
00.53    2.74872089780634e+29    5.32742420125081e+27    1.02858884380309e+25    8.74313063249952e+26
00.54    2.85600383209024e+29    5.61925095496432e+27    1.07646155523038e+25    9.21689398519810e+26
00.55    2.96562023306351e+29    5.92592693589670e+27    1.12601807019769e+25    9.71441656028786e+26
00.56    3.07747390694003e+29    6.24817112784023e+27    1.17721973291909e+25    1.02367112427014e+27
00.57    3.19164908155693e+29    6.58708155833680e+27    1.23018188016451e+25    1.07855681425602e+27
00.58    3.30816929270592e+29    6.94376987449272e+27    1.28493080977622e+25    1.13627411523305e+27
00.59    3.42708556851338e+29    7.31945037196955e+27    1.34153067346626e+25    1.19701460158268e+27
00.60    3.54841628921074e+29    7.71544958892799e+27    1.40002078622475e+25    1.26098753162018e+27
00.61    3.67220167310184e+29    8.13323961467597e+27    1.46045415242208e+25    1.32842521149500e+27
00.62    3.79847943992245e+29    8.57447811818027e+27    1.52288494171777e+25    1.39958943236509e+27
00.63    3.92729704738389e+29    9.04095631015963e+27    1.58735291428390e+25    1.47476286066047e+27
00.64    4.05869161274309e+29    9.53473786817478e+27    1.65391294385493e+25    1.55427158725551e+27
00.65    4.19263237088261e+29    1.00578883441830e+28    1.72258881718067e+25    1.63843162833830e+27
00.66    4.32926060428905e+29    1.06130989977876e+28    1.79344984523454e+25    1.72767719480345e+27
00.67    4.46871780271217e+29    1.12032580254612e+28    1.86660534813528e+25    1.82247495243911e+27
00.68    4.61088046781186e+29    1.18310680066050e+28    1.94204612306769e+25    1.92322956609955e+27
00.69    4.75579178773118e+29    1.24997775924679e+28    2.01980938213826e+25    2.03045112577995e+27
00.70    4.90376061687901e+29    1.32132287784767e+28    2.10008900054402e+25    2.14476797025740e+27
00.71    5.05463249531456e+29    1.39747565456186e+28    2.18289507568935e+25    2.26667835385000e+27
00.72    5.20861780632036e+29    1.47885163803888e+28    2.26837909130107e+25    2.39684624326831e+27
00.73    5.36578390638818e+29    1.56588394516018e+28    2.35666240775252e+25    2.53595018742923e+27
00.74    5.52622410496752e+29    1.65898604195615e+28    2.44794212031861e+25    2.68463430961331e+27
00.75    5.68993956454640e+29    1.75860695442225e+28    2.54236235741664e+25    2.84358184283407e+27
00.76    5.85716282266862e+29    1.86532280900182e+28    2.64032010849056e+25    3.01370832221546e+27
00.77    6.02797740031809e+29    1.97968862877432e+28    2.74222968710777e+25    3.19587751037727e+27
00.78    6.20239605689067e+29    2.10236332027625e+28    2.84867136700544e+25    3.39109844928247e+27
00.79    6.38065805860358e+29    2.23413033111600e+28    2.96055609621218e+25    3.60061200029713e+27
00.80    6.56288654633099e+29    2.37579926191942e+28    3.07913276911065e+25    3.82567946719959e+27
00.81    6.74910307928376e+29    2.52833627370951e+28    3.20569743101716e+25    4.06778646494012e+27
00.82    6.93954280264760e+29    2.69277087662834e+28    3.34225690207964e+25    4.32855625287563e+27
00.83    7.13421542625518e+29    2.87013622311797e+28    3.49094869653793e+25    4.60956609984499e+27
00.84    7.33338790574428e+29    3.06154921481875e+28    3.65415522309512e+25    4.91256815414260e+27
00.85    7.53704782151530e+29    3.26800430872977e+28    3.83422156273623e+25    5.23905978256048e+27
00.86    7.74547946646440e+29    3.49049856145874e+28    4.03333172603990e+25    5.59058914238159e+27
00.87    7.95870269872675e+29    3.72989850743021e+28    4.25290369987019e+25    5.96843071957372e+27
00.88    8.17711111742658e+29    3.98702911432388e+28    4.49344461381343e+25    6.37384686266167e+27
00.89    8.40074805146827e+29    4.26259339454341e+28    4.75377633367947e+25    6.80783336576215e+27
00.90    8.63020396512894e+29    4.55757844575234e+28    5.03133035554264e+25    7.27190267878506e+27
00.91    8.86571343466821e+29    4.87289100421106e+28    5.32132969569713e+25    7.76735728712076e+27
00.92    9.10808424875598e+29    5.20992970813198e+28    5.61762409351448e+25    8.29635433763381e+27
00.93    9.35769100247756e+29    5.57058380424968e+28    5.91240260201957e+25    8.86168892298669e+27
00.94    9.61584805887474e+29    5.95727958317923e+28    6.19825993602606e+25    9.46717410800967e+27
00.95    9.88365681204466e+29    6.37343248919691e+28    6.46866186155568e+25    1.01180919854032e+28
00.96    1.01618806629950e+30    6.82286633139167e+28    6.71939221380254e+25    1.08202324230491e+28
00.97    1.04523159241510e+30    7.31042059727278e+28    6.95204491329615e+25    1.15811827400055e+28
