#w(eV)  RpP(cm^2/W)     RsP(cm^2/W)     RpS(cm^2/W)
1.9344   2.0198080e-21   1.5474800e-22   8.4479600e-22
1.9406   2.0058570e-21   1.5244500e-22   1.1379940e-21
1.9468   2.7384860e-21   7.3788000e-23   9.4591600e-22
1.9530   2.8348290e-21   1.1618700e-22   8.6568500e-22
1.9592   3.5368240e-21   2.0726900e-22   8.2445700e-22
1.9654   3.3727040e-21   8.4346000e-23   8.2488800e-22
1.9716   3.3573670e-21   1.2257100e-22   6.5335900e-22
1.9778   3.6969200e-21   2.2800000e-22   8.6705600e-22
1.9840   3.6199560e-21   1.9666400e-22   7.0455000e-22
1.9902   5.0200820e-21   2.5030100e-22   9.3476100e-22
1.9964   4.7297970e-21   1.5145000e-22   8.8614300e-22
2.0026   5.2283910e-21   8.1986000e-23   8.1517000e-22
2.0088   5.2340570e-21   7.7263000e-23   9.3161200e-22
2.0150   4.6966560e-21   2.2287200e-22   1.0863870e-21
2.0212   6.1927780e-21   1.4891100e-22   1.1328130e-21
2.0274   6.2895450e-21   1.0256800e-22   1.1121710e-21
2.0336   7.0028030e-21   1.3304600e-22   9.2575700e-22
2.0398   6.6410740e-21   1.3636200e-22   1.1226420e-21
2.0460   6.8831030e-21   1.1355200e-22   1.0905650e-21
2.0522   7.3449880e-21   2.8042000e-23   1.0027490e-21
2.0584   8.4467270e-21   2.5049700e-22   1.0255550e-21
2.0646   7.8619740e-21   1.7414600e-22   1.3992220e-21
2.0708   9.3787930e-21   1.2851800e-22   1.3249000e-21
2.0770   9.5492300e-21   1.6180900e-22   1.5098860e-21
2.0832   1.0560687e-20   1.6824600e-22   1.5584350e-21
2.0894   1.1069001e-20   1.3658900e-22   1.5288620e-21
2.0956   1.2503099e-20   2.2935200e-22   1.6996480e-21
2.1018   1.3244255e-20  -3.4790000e-24   1.8408960e-21
2.1080   1.4640687e-20   8.1817000e-23   1.5355170e-21
2.1080   1.4802714e-20   3.6302100e-22   2.3851510e-21
2.1142   1.3948036e-20   3.5171700e-22   2.1612810e-21
2.1204   1.4280001e-20   2.5398300e-22   2.3298270e-21
2.1266   1.3936043e-20   3.8298000e-22   2.6649650e-21
2.1328   1.5144421e-20   3.4281900e-22   2.9681820e-21
2.1390   1.5400357e-20   2.8277000e-22   2.8930460e-21
2.1452   1.5588783e-20   3.4626700e-22   2.9541230e-21
2.1514   1.5173496e-20   2.7395100e-22   3.0889790e-21
2.1576   1.4630319e-20   3.3002000e-22   3.2552570e-21
2.1638   1.4086197e-20   3.1213700e-22   3.1893070e-21
2.1700   1.2124281e-20   3.3990900e-22   3.8199340e-21
2.1762   1.2663323e-20   2.3168400e-22   3.0749570e-21
2.1824   1.2065049e-20   2.1098000e-22   3.3654860e-21
2.1886   1.0901340e-20   2.0724600e-22   2.7642240e-21
2.1948   1.0751350e-20   2.0950700e-22   2.9946170e-21
2.2010   1.0123044e-20   2.7410600e-22   2.6155280e-21
2.2072   1.0157331e-20   2.3353400e-22   2.9577250e-21
2.2134   9.4854010e-21   2.5951600e-22   2.6309360e-21
2.2196   8.4854920e-21   2.1943700e-22   2.5601440e-21
2.2258   8.6570010e-21   2.3802000e-22   2.3908700e-21
2.2320   9.1051100e-21   2.1537800e-22   2.5420150e-21
2.2382   7.9983960e-21   2.5005700e-22   2.6381820e-21
2.2444   7.7396960e-21   2.3818400e-22   2.7514070e-21
2.2506   7.5134530e-21   2.1565100e-22   2.2899800e-21
2.2568   6.8757460e-21   1.9474200e-22   1.9407410e-21
2.2630   6.5037910e-21   2.1692100e-22   1.8081440e-21
2.2692   6.2879020e-21   2.8446700e-22   2.6247660e-21
2.2754   6.2778460e-21   2.7488700e-22   1.9437810e-21
2.2816   5.0855620e-21   2.1956300e-22   2.1311780e-21
2.2878   5.2409300e-21   2.0249900e-22   1.7539870e-21
2.2940   4.1813400e-21   1.8542400e-22   1.6138060e-21
2.3002   3.5282090e-21   3.5637500e-22   1.8349560e-21
2.3064   3.4934160e-21   2.8213900e-22   2.2369080e-21
2.3126   2.8342210e-21   5.2291100e-22   1.4619970e-21
2.3188   2.4386120e-21   5.5355100e-22   1.6022070e-21
2.3436   1.2758700e-21   7.9120700e-22   1.7773430e-21
2.3498   1.0627300e-21   6.9768800e-22   1.6358120e-21
2.3560   1.1914900e-21   9.3563100e-22   1.3596340e-21
2.3622   7.8751000e-22   8.5816700e-22   1.7197670e-21
2.3684   5.5931300e-22   1.0306260e-21   1.5196300e-21
2.3746   4.4733600e-22   1.1324040e-21   1.1494970e-21
2.3808   4.6701900e-22   1.1751820e-21   1.0752190e-21
2.3870   2.7910800e-22   1.4167380e-21   1.6617920e-21
2.3932   6.5023900e-22   1.6414180e-21   1.4012620e-21
2.3994   3.4487800e-22   1.6475300e-21   1.4971620e-21
2.4056   4.0122300e-22   2.4787230e-21   1.2856660e-21
2.4118   2.4891000e-22   1.9808390e-21   9.9046600e-22
2.4180   2.7077200e-22   2.2754950e-21   1.2563720e-21
2.4242   1.1495300e-22   2.7811560e-21   1.3491500e-21
2.4304   2.0943000e-22   3.3760380e-21   1.3706730e-21
2.4366   4.0237100e-22   2.3893340e-21   1.1137750e-21
2.4428   1.8015800e-22   5.1809550e-21   1.1819180e-21
2.4490   4.7086000e-23   2.8985290e-21   1.3906740e-21
2.4552   2.8362100e-22   3.2492760e-21   1.0653800e-21
2.4614   1.3245900e-22   2.3779910e-21   1.3805550e-21
2.4676   3.0594500e-22   3.3886610e-21   1.3649700e-21
2.4738   3.0436300e-22   3.6231120e-21   1.3431580e-21
2.4800   2.0630900e-22   3.4865210e-21   1.4502130e-21
