# 1w(eV)   RpP(cm^2/W)       RsP(cm^2/W)       RpS(cm^2/W)       RsS(cm^2/W)
02.0100    4.02074194e-21    4.87171482e-23    1.49054716e-21    3.98986084e-22
02.0200    4.51347509e-21    5.01197545e-23    1.63913564e-21    4.37607149e-22
02.0300    5.17262740e-21    5.43034486e-23    1.81042951e-21    4.82210155e-22
02.0400    5.98158513e-21    6.10449926e-23    1.99826185e-21    5.31115990e-22
02.0500    6.91671270e-21    7.00536010e-23    2.19591057e-21    5.82508529e-22
02.0600    7.94985505e-21    8.09895508e-23    2.39632543e-21    6.34497157e-22
02.0700    9.05073279e-21    9.34818583e-23    2.59233781e-21    6.85173775e-22
02.0800    1.01890068e-20    1.07144126e-22    2.77686422e-21    7.32667237e-22
02.0900    1.13358982e-20    1.21587946e-22    2.94311170e-21    7.75197458e-22
02.1000    1.24653523e-20    1.36433640e-22    3.08479074e-21    8.11130648e-22
02.1100    1.35548188e-20    1.51318536e-22    3.19633773e-21    8.39036263e-22
02.1200    1.45857705e-20    1.65903459e-22    3.27314558e-21    8.57745266e-22
02.1300    1.55440960e-20    1.79878381e-22    3.31179533e-21    8.66407910e-22
02.1400    1.64204542e-20    1.92968065e-22    3.31027407e-21    8.64547310e-22
02.1500    1.72105941e-20    2.04937796e-22    3.26815558e-21    8.52102886e-22
02.1600    1.79155421e-20    2.15598275e-22    3.18671298e-21    8.29455931e-22
02.1700    1.85414726e-20    2.24807876e-22    3.06893033e-21    7.97428999e-22
02.1800    1.90990474e-20    2.32470186e-22    2.91938561e-21    7.57252332e-22
02.1900    1.96020446e-20    2.38525388e-22    2.74399249e-21    7.10494334e-22
02.2000    2.00652215e-20    2.42935632e-22    2.54961013e-21    6.58958709e-22
02.2100    2.05015397e-20    2.45666729e-22    2.34355437e-21    6.04557121e-22
02.2200    2.09190816e-20    2.46670518e-22    2.13306498e-21    5.49171484e-22
02.2300    2.13181585e-20    2.45873554e-22    1.92479517e-21    4.94522907e-22
02.2400    2.16891933e-20    2.43177557e-22    1.72438835e-21    4.42063914e-22
02.2500    2.20119345e-20    2.38475201e-22    1.53619340e-21    3.92906829e-22
02.2600    2.22563882e-20    2.31681725e-22    1.36314552e-21    3.47795017e-22
02.2700    2.23855978e-20    2.22779422e-22    1.20681153e-21    3.07116388e-22
02.2800    2.23600768e-20    2.11868912e-22    1.06757225e-21    2.70951909e-22
02.2900    2.21433852e-20    1.99218866e-22    9.44896045e-22    2.39147150e-22
02.3000    2.17081026e-20    1.85305233e-22    8.37649262e-22    2.11392924e-22
02.3100    2.10412662e-20    1.70832196e-22    7.44391082e-22    1.87301579e-22
02.3200    2.01486266e-20    1.56728959e-22    6.63616619e-22    1.66469738e-22
02.3300    1.90570307e-20    1.44119380e-22    5.93925264e-22    1.48521663e-22
02.3400    1.78144316e-20    1.34264406e-22    5.34107914e-22    1.33131848e-22
02.3500    1.64875932e-20    1.28479926e-22    4.83167231e-22    1.20030395e-22
02.3600    1.51576504e-20    1.28035384e-22    4.40291079e-22    1.08996410e-22
02.3700    1.39139070e-20    1.34040391e-22    4.04802533e-22    9.98453740e-23
02.3800    1.28463615e-20    1.47328289e-22    3.76106172e-22    9.24155525e-23
02.3900    1.20375100e-20    1.68347144e-22    3.53643057e-22    8.65566121e-23
02.4000    1.15540235e-20    1.97069557e-22    3.36858678e-22    8.21216021e-23
02.4100    1.14389720e-20    2.32932547e-22    3.25181658e-22    7.89617686e-23
02.4200    1.17053722e-20    2.74817319e-22    3.18007804e-22    7.69228468e-23
02.4300    1.23319465e-20    3.21075880e-22    3.14685317e-22    7.58417019e-23
02.4400    1.32619944e-20    3.69607161e-22    3.14501368e-22    7.55432479e-23
02.4500    1.44061359e-20    4.17979989e-22    3.16675476e-22    7.58388291e-23
02.4600    1.56492975e-20    4.63594667e-22    3.20368111e-22    7.65280109e-23
02.4700    1.68617050e-20    5.03870009e-22    3.24712034e-22    7.74055553e-23
02.4800    1.79128931e-20    5.36439066e-22    3.28868653e-22    7.82741637e-23
02.4900    1.86870264e-20    5.59335189e-22    3.32103639e-22    7.89617089e-23
02.5000    1.90973281e-20    5.71150379e-22    3.33868234e-22    7.93398461e-23
