# RiF (cm^2/W)
# 1w(eV)   RpP               RpS               RsP               RsS               phi(deg)
01.9500    3.80882064e-21    1.16583545e-21    1.06399430e-22    3.33550054e-22    030.0
01.9600    3.55455493e-21    1.11728969e-21    9.13422456e-23    3.17778537e-22    030.0
01.9700    3.33868530e-21    1.09953223e-21    7.85250720e-23    3.09912889e-22    030.0
01.9800    3.19933776e-21    1.11528219e-21    6.83627817e-23    3.10905966e-22    030.0
01.9900    3.16930947e-21    1.16507657e-21    6.11470795e-23    3.21136372e-22    030.0
02.0000    3.27294627e-21    1.24753800e-21    5.70402319e-23    3.40462113e-22    030.0
02.0100    3.52436995e-21    1.35970932e-21    5.60781537e-23    3.68296732e-22    030.0
02.0200    3.92706619e-21    1.49739562e-21    5.81815417e-23    4.03692479e-22    030.0
02.0300    4.47464518e-21    1.65547579e-21    6.31732294e-23    4.45419526e-22    030.0
02.0400    5.15246120e-21    1.82816745e-21    7.07995991e-23    4.92035361e-22    030.0
02.0500    5.93973336e-21    2.00924706e-21    8.07536136e-23    5.41943210e-22    030.0
02.0600    6.81183453e-21    2.19223776e-21    9.26968492e-23    5.93441787e-22    030.0
02.0700    7.74248587e-21    2.37058200e-21    1.06277871e-22    6.44770487e-22    030.0
02.0800    8.70568531e-21    2.53781519e-21    1.21144682e-22    6.94154621e-22    030.0
02.0900    9.67729207e-21    2.68775267e-21    1.36950026e-22    7.39854582e-22    030.0
02.1000    1.06362652e-20    2.81469664e-21    1.53349844e-22    7.80221423e-22    030.0
02.1100    1.15656011e-20    2.91366263e-21    1.69996947e-22    8.13759255e-22    030.0
02.1200    1.24530283e-20    2.98061765e-21    1.86533436e-22    8.39192520e-22    030.0
02.1300    1.32914966e-20    3.01271373e-21    2.02586251e-22    8.55533759e-22    030.0
02.1400    1.40794528e-20    3.00849344e-21    2.17769768e-22    8.62145391e-22    030.0
02.1500    1.48208353e-20    2.96803819e-21    2.31697537e-22    8.58787515e-22    030.0
02.1600    1.55246677e-20    2.89302890e-21    2.44002485e-22    8.45643522e-22    030.0
02.1700    1.62041202e-20    2.78669287e-21    2.54362017e-22    8.23316582e-22    030.0
02.1800    1.68749291e-20    2.65362258e-21    2.62522311e-22    7.92793054e-22    030.0
02.1900    1.75531553e-20    2.49946904e-21    2.68315557e-22    7.55373295e-22    030.0
02.2000    1.82523886e-20    2.33053298e-21    2.71665306e-22    7.12575279e-22    030.0
02.2100    1.89806601e-20    2.15329539e-21    2.72578167e-22    6.66021032e-22    030.0
02.2200    1.97374655e-20    1.97394195e-21    2.71123946e-22    6.17319031e-22    030.0
02.2300    2.05113934e-20    1.79793896e-21    2.67409921e-22    5.67956588e-22    030.0
02.2400    2.12788702e-20    1.62971146e-21    2.61557001e-22    5.19214702e-22    030.0
02.2500    2.20044453e-20    1.47245795e-21    2.53685436e-22    4.72114068e-22    030.0
02.2600    2.26428650e-20    1.32811381e-21    2.43915501e-22    4.27395713e-22    030.0
02.2700    2.31429251e-20    1.19745260e-21    2.32385045e-22    3.85534264e-22    030.0
02.2800    2.34528067e-20    1.08029424e-21    2.19281653e-22    3.46776988e-22    030.0
02.2900    2.35263235e-20    9.75776845e-22    2.04883370e-22    3.11198653e-22    030.0
02.3000    2.33293113e-20    8.82644917e-22    1.89599595e-22    2.78761131e-22    030.0
02.3100    2.28452259e-20    7.99509698e-22    1.74003255e-22    2.49367296e-22    030.0
02.3200    2.20793303e-20    7.25054769e-22    1.58846017e-22    2.22902514e-22    030.0
02.3300    2.10608059e-20    6.58169856e-22    1.45050529e-22    1.99259703e-22    030.0
02.3400    1.98423183e-20    5.98009638e-22    1.33676557e-22    1.78347536e-22    030.0
02.3500    1.84971540e-20    5.43993251e-22    1.25860777e-22    1.60085787e-22    030.0
02.3600    1.71141389e-20    4.95763422e-22    1.22733374e-22    1.44393092e-22    030.0
02.3700    1.57907822e-20    4.53126087e-22    1.25317367e-22    1.31172931e-22    030.0
02.3800    1.46251961e-20    4.15987024e-22    1.34419132e-22    1.20302530e-22    030.0
02.3900    1.37073957e-20    3.84294800e-22    1.50520807e-22    1.11627304e-22    030.0
02.4000    1.31106161e-20    3.57992170e-22    1.73686716e-22    1.04961207e-22    030.0
02.4100    1.28833320e-20    3.36973186e-22    2.03496093e-22    1.00091469e-22    030.0
02.4200    1.30427556e-20    3.21042044e-22    2.39013055e-22    9.67852530e-23    030.0
02.4300    1.35706664e-20    3.09872847e-22    2.78801815e-22    9.47959481e-23    030.0
02.4400    1.44124416e-20    3.02975388e-22    3.20990643e-22    9.38681074e-23    030.0
02.4500    1.54800003e-20    2.99677631e-22    3.63382546e-22    9.37415882e-23    030.0
02.4600    1.66589978e-20    2.99137514e-22    4.03604946e-22    9.41566454e-23    030.0
02.4700    1.78200052e-20    3.00393320e-22    4.39285562e-22    9.48619580e-23    030.0
02.4800    1.88326726e-20    3.02453232e-22    4.68238084e-22    9.56267191e-23    030.0
02.4900    1.95811624e-20    3.04413101e-22    4.88639564e-22    9.62562181e-23    030.0
02.5000    1.99786579e-20    3.05580895e-22    4.99181850e-22    9.66084954e-23    030.0
